,country_code,category,subcategory,source,name,unit,size,vehicle_range,fuel_type,co2e_unit,co2e,seating,ferry_class
1,global,transport,bus,mobitool,Stadtbus (9m),P.km,small,local,cng,kg/P.km,0.1464,,
2,global,transport,bus,mobitool,Stadtbus (13m),P.km,medium,local,cng,kg/P.km,0.1034,,
3,global,transport,bus,mobitool,Stadtbus (18m),P.km,large,local,cng,kg/P.km,0.0709,,
4,global,transport,bus,mobitool,Stadtbus (13m),P.km,average,local,cng,kg/P.km,0.1034,,
5,global,transport,bus,mobitool,Stadtbus (13m),P.km,average,local,diesel,kg/P.km,0.1338,,
6,global,transport,bus,mobitool,Stadtbus (13m),P.km,medium,local,diesel,kg/P.km,0.1338,,
7,global,transport,bus,mobitool,Stadtbus (18m),P.km,large,local,diesel,kg/P.km,0.0905,,
8,global,transport,bus,mobitool,Stadtbus (9m),P.km,small,local,diesel,kg/P.km,0.1716,,
9,global,transport,bus,mobitool,Reisebus,P.km,small,long-distance,diesel,kg/P.km,0.0465,,
10,global,transport,bus,mobitool,Trolleybus,P.km,average,local,electric,kg/P.km,0.0296,,
11,global,transport,car,mobitool,Personenkraftwagen,P.km,large,,cng,kg/P.km,0.1528,,
12,global,transport,car,mobitool,Personenkraftwagen,P.km,small,,cng,kg/P.km,0.1033,,
13,global,transport,car,mobitool,Personenkraftwagen,P.km,medium,,cng,kg/P.km,0.1233,,
14,global,transport,car,mobitool,Personenkraftwagen,P.km,average,,average,kg/P.km,0.1864,,
15,global,transport,car,mobitool,Personenkraftwagen,P.km,average,,gasoline,kg/P.km,0.186,,
16,global,transport,car,mobitool,Personenkraftwagen,P.km,small,,gasoline,kg/P.km,0.1297,,
17,global,transport,car,mobitool,Personenkraftwagen,P.km,medium,,gasoline,kg/P.km,0.1506,,
18,global,transport,car,mobitool,Personenkraftwagen,P.km,large,,gasoline,kg/P.km,0.2004,,
19,global,transport,car,mobitool,Personenkraftwagen,P.km,average,,diesel,kg/P.km,0.189,,
20,global,transport,car,mobitool,Personenkraftwagen,P.km,small,,diesel,kg/P.km,0.1109,,
21,global,transport,car,mobitool,Personenkraftwagen,P.km,medium,,diesel,kg/P.km,0.1322,,
22,global,transport,car,mobitool,Personenkraftwagen,P.km,large,,diesel,kg/P.km,0.1757,,
23,global,transport,train,mobitool,Eisenbahn,P.km,,long-distance,,kg/P.km,0.0068,,
24,global,transport,train,mobitool,Eisenbahn,P.km,,local,,kg/P.km,0.008,,
25,global,transport,train,mobitool,Eisenbahn,P.km,,average,,kg/P.km,0.007,,
26,global,transport,tram,mobitool,Strassenbahn,P.km,average,local,electric,kg/P.km,0.0428,,
27,DE,transport,train,mobitool,Bahn Deutschland,P.km,,average,,kg/P.km,0.0408,,
28,FR,transport,train,mobitool,Bahn Frankreich,P.km,,average,,kg/P.km,0.0125,,
29,IT,transport,train,mobitool,Bahn Italien,P.km,,average,,kg/P.km,0.0747,,
30,AT,transport,train,mobitool,Bahn Österreich,P.km,,average,,kg/P.km,0.0151,,
31,global,transport,car,mobitool,Personenkraftwagen,P.km,large,,hybrid,kg/P.km,0.1785,,
32,global,transport,car,mobitool,Personenkraftwagen,P.km,small,,hybrid,kg/P.km,0.1182,,
33,global,transport,car,mobitool,Personenkraftwagen,P.km,medium,,hybrid,kg/P.km,0.1397,,
34,global,transport,car,mobitool,Personenkraftwagen,P.km,average,,hybrid,kg/P.km,0.1397,,
35,global,transport,car,mobitool,Personenkraftwagen,P.km,average,,plug-in_hybrid,kg/P.km,0.1278,,
36,global,transport,car,mobitool,Personenkraftwagen,P.km,small,,plug-in_hybrid,kg/P.km,0.0799,,
37,global,transport,car,mobitool,Personenkraftwagen,P.km,medium,,plug-in_hybrid,kg/P.km,0.1278,,
38,global,transport,car,mobitool,Personenkraftwagen,P.km,large,,plug-in_hybrid,kg/P.km,0.1718,,
39,global,transport,car,mobitool,Personenkraftwagen,P.km,average,,electric,kg/P.km,0.0898,,
40,global,transport,car,mobitool,Personenkraftwagen,P.km,small,,electric,kg/P.km,0.0599,,
41,global,transport,car,mobitool,Personenkraftwagen,P.km,medium,,electric,kg/P.km,0.0697,,
42,global,transport,car,mobitool,Personenkraftwagen,P.km,large,,electric,kg/P.km,0.091,,
43,global,transport,plane,mobitool,Flugzeug,P.km,,average,kerosine,kg/P.km,0.263,average,
44,global,transport,plane,mobitool,Flugzeug,P.km,,short-haul,kerosine,kg/P.km,0.3192,average,
45,global,transport,plane,mobitool,Flugzeug,P.km,,short-haul,kerosine,kg/P.km,0.2918,economy_class,
46,global,transport,plane,mobitool,Flugzeug,P.km,,short-haul,kerosine,kg/P.km,0.4488,business_class,
47,global,transport,plane,mobitool,Flugzeug,P.km,,long-haul,kerosine,kg/P.km,0.2372,average,
48,global,transport,plane,mobitool,Flugzeug,P.km,,long-haul,kerosine,kg/P.km,0.1895,economy_class,
49,global,transport,plane,mobitool,Flugzeug,P.km,,long-haul,kerosine,kg/P.km,0.3914,business_class,
50,global,transport,plane,mobitool,Flugzeug,P.km,,long-haul,kerosine,kg/P.km,0.6031,first_class,
51,global,transport,ferry,"UK, Department for Business, Energy & Industrial Strategy","Ferry, Average",P.km,,,,kg/P.km,0.11286,,average
52,global,transport,motorbike,mobitool,Motorrad,P.km,small,,,kg/P.km,0.121,,
53,global,transport,motorbike,mobitool,Motorrad,P.km,medium,,,kg/P.km,0.1548,,
54,global,transport,motorbike,mobitool,Motorrad,P.km,large,,,kg/P.km,0.2036,,
55,global,transport,motorbike,mobitool,Motorrad,P.km,average,,,kg/P.km,0.1636,,
56,global,transport,bicycle,mobitool,Fahrrad,P.km,,,,kg/P.km,0.0056,,
57,global,transport,pedelec,mobitool,E-Bike,P.km,,,,kg/P.km,0.0113,,
58,global,transport,ferry,"UK, Department for Business, Energy & Industrial Strategy","Ferry, Foot passenger",P.km,,,,kg/P.km,0.01874,,foot_passenger
59,global,transport,ferry,"UK, Department for Business, Energy & Industrial Strategy","Ferry, Car passenger",P.km,,,,kg/P.km,0.12952,,car_passenger
60,global,transport,bus,mobitool,Reisebus,P.km,large,long-distance,diesel,kg/P.km,0.0474,,
