id,type,source,model,size_class,fuel_type,capacity,occupancy,co2e_kg
0,Reisebus,UBA,tremod,average,diesel,44.6,100,0.0219
1,Reisebus,UBA,tremod,large,diesel,60,100,0.0188
2,Reisebus,UBA,tremod,large,diesel,60,20,0.0764
3,Reisebus,UBA,tremod,large,diesel,60,50,0.0332
4,Reisebus,UBA,tremod,large,diesel,60,80,0.0224
5,Reisebus,UBA,tremod,average,diesel,44.6,20,0.0917
6,Reisebus,UBA,tremod,medium,diesel,39.9,100,0.0233
7,Reisebus,UBA,tremod,medium,diesel,39.9,20,0.0987
8,Reisebus,UBA,tremod,medium,diesel,39.9,50,0.0423
9,Reisebus,UBA,tremod,medium,diesel,39.9,80,0.0281
10,Reisebus,UBA,tremod,average,diesel,44.6,50,0.0394
11,Reisebus,UBA,tremod,average,diesel,44.6,80,0.0263
