id,type,source,model,size_class,fuel_type,co2e_kg
0,Pkw-EM-klein-DE-2020-Basis,Öko-Institut,gemis,small,electric,0.04
1,Pkw-EM-mittel-DE-2020-Basis,Öko-Institut,gemis,medium,electric,0.0503
2,Pkw-Otto-CNG-gross-DE-2020-Basis,Öko-Institut,gemis,large,cng,0.262
3,Pkw-Otto-CNG-klein-DE-2020-Basis,Öko-Institut,gemis,small,cng,0.174
4,Pkw-Otto-CNG-mittel-DE-2020-Basis,Öko-Institut,gemis,medium,cng,0.21
5,PKW,UBA,tremod,average,average,0.215
6,PKW,UBA,tremod,small,average,0.179
7,PKW,UBA,tremod,medium,average,0.209
8,PKW,UBA,tremod,large,average,0.274
9,PKW,UBA,tremod,small,gasoline,0.18
10,PKW,UBA,tremod,medium,gasoline,0.231
11,PKW,UBA,tremod,large,gasoline,0.311
12,PKW,UBA,tremod,average,diesel,0.201
13,PKW,UBA,tremod,small,diesel,0.131
14,PKW,UBA,tremod,medium,diesel,0.18
15,PKW,UBA,tremod,large,diesel,0.249
