,type,country,region,units,co2e,source,source link,note,,LEGEND
0,solar,germany,,kg/TJ,11874,Öko-Institut,?,Solar-PV-amorph-DE-2010,,"mix = average direct greenhouse gas emissions of producing one unit of electricity by the region's grid, given as CO2 equivalents (CO2e)"
1,mix,germany,,kg/TJ,109518,IINAS,?,El-KW-Park-DE-2020,,"residual mix = average direct greenhouse gas emissions of producing one unit of electricity by the region's grid after removing contributions from the set with guarantees of origin, given as CO2 equivalents (CO2e). Essentially, it is the mix value for a consumer who has not paid for guarantees that a certain percentage of the electricity is generated with renewable sources."
2,mix,canada,ontario,g/kWh,28,National Inventory Report - Greenhouse Gas Sources and Sinks in Canada - 1990-2020 - Part 3 Pg. 67,https://unfccc.int/documents/461919,,,"LCA = values based on a life-cycle analysis, thus including up- and downstream impacts throughout the electricity generation value chain"
3,mix,canada,newfoundland and labrador,g/kWh,25,National Inventory Report - Greenhouse Gas Sources and Sinks in Canada - 1990-2020 - Part 3 Pg. 62,https://unfccc.int/documents/461919,,,"issuance based = An alternative method for calculating residual mix values (as opposed to the slightly more standard Shifted Transaction based methodology). This difference in methodology can become significant with increased trading activity between regions, as in Europe. See ""Issuance Based Residual Mix Calculation Methodology, Grexel 2020"" Section 2 for a comparison of the two methods. Link: https://www.aib-net.org/sites/default/files/assets/facts/residual-mix/2019/RM%20EAM%20IB%20Calculation%20Methodology%20V1_1.pdf"
4,mix,canada,prince edward island,g/kWh,300,National Inventory Report - Greenhouse Gas Sources and Sinks in Canada - 1990-2020 - Part 3 Pg. 63,https://unfccc.int/documents/461919,"Due to the high level of imports from New Brunswick, New Brunswick values are used as these are more indicative of GHG consumption intensity. ",,
5,mix,canada,nova scotia,g/kWh,680,National Inventory Report - Greenhouse Gas Sources and Sinks in Canada - 1990-2020 - Part 3 Pg. 64,https://unfccc.int/documents/461919,,,
6,mix,canada,new brunswick,g/kWh,300,National Inventory Report - Greenhouse Gas Sources and Sinks in Canada - 1990-2020 - Part 3 Pg. 65,https://unfccc.int/documents/461919,,,
7,mix,canada,quebec,g/kWh,1.9,National Inventory Report - Greenhouse Gas Sources and Sinks in Canada - 1990-2020 - Part 3 Pg. 66,https://unfccc.int/documents/461919,,,
8,mix,canada,manitoba,g/kWh,1.2,National Inventory Report - Greenhouse Gas Sources and Sinks in Canada - 1990-2020 - Part 3 Pg. 68,https://unfccc.int/documents/461919,,,
9,mix,canada,saskatchewan,g/kWh,620,National Inventory Report - Greenhouse Gas Sources and Sinks in Canada - 1990-2020 - Part 3 Pg. 69,https://unfccc.int/documents/461919,,,
10,mix,canada,alberta,g/kWh,640,National Inventory Report - Greenhouse Gas Sources and Sinks in Canada - 1990-2020 - Part 3 Pg. 70,https://unfccc.int/documents/461919,,,
11,mix,canada,british columbia,g/kWh,7.8,National Inventory Report - Greenhouse Gas Sources and Sinks in Canada - 1990-2020 - Part 3 Pg. 71,https://unfccc.int/documents/461919,,,
12,mix,canada,yukon,g/kWh,110,National Inventory Report - Greenhouse Gas Sources and Sinks in Canada - 1990-2020 - Part 3 Pg. 72,https://unfccc.int/documents/461919,,,
13,mix,canada,northwest territories,g/kWh,180,National Inventory Report - Greenhouse Gas Sources and Sinks in Canada - 1990-2020 - Part 3 Pg. 73,https://unfccc.int/documents/461919,,,
