Spalte1,type,sub-type,country,region,units,co2e,source,source link,note,info
0,Natural gas,,France,continental France,kgCO2e/kWh,0.204,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
1,Natural gas,,France,continental France,kgCO2e/GJ,56.8,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
2,Natural gas,,France,continental France,kgCO2e/m3,2.2,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
3,Natural gas,,Spain,,kgCO2e/kWh,0.182,Ministerio para la transición ecológica y el retro demográfico,https://www.miteco.gob.es/es/cambio-climatico/temas/mitigacion-politicas-y-medidas/factoresemision_tcm30-479095.pdf,valid for 2021,
,Natural gas,,Portugal,,kgCO2e/m3,2.19,EEA Grants Portugal,https://www.eeagrants.gov.pt/media/2918/emission-factors_portugal.xlsx,,
,Natural gas,,Belgium,,kgCO2e/GJ,56.1,National Inventory Report 2022 Belgium,https://climat.be/doc/nir-2022-03-15.pdf,valid for 2022,
,Natural gas,,Netherlands,,kgCO2e/GJ,56.4,Netherlands Enterprise Agency,https://english.rvo.nl/sites/default/files/2020/03/The-Netherlands-list-of-fuels-version-January-2020.pdf,valid for 2020,
4,LPG,,Spain,,kgCO2e/liter,1.545,Ministerio para la transición ecológica y el retro demográfico,https://www.miteco.gob.es/es/cambio-climatico/temas/mitigacion-politicas-y-medidas/factoresemision_tcm30-479095.pdf,valid for 2021,
,LPG,,Portugal,,kgCO2e/GJ,63.1,National Inventory Report 2022 Portugal,https://apambiente.pt/sites/default/files/_Clima/Inventarios/20221025NIR2022JulyCorrigendum.pdf,valid for 2022,
,LPG,,Belgium,,kgCO2e/GJ,63.1,National Inventory Report 2022 Belgium,https://climat.be/doc/nir-2022-03-15.pdf,valid for 2022,
,LPG,,Netherlands,,kgCO2e/GJ,66.7,Netherlands Enterprise Agency,https://english.rvo.nl/sites/default/files/2020/03/The-Netherlands-list-of-fuels-version-January-2020.pdf,valid for 2020,
5,Butane,,France,continental France,kgCO2e/GJ,75.5,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2017,
6,Butane,,France,continental France,kgCO2e/kg,3.44,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
7,Butane,,France,continental France,kgCO2e/kWh,0.273,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2017,
8,Butane,,France,continental France,kgCO2e/liter,2,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2017,
9,Butane,,Spain,,kgCO2e/kg,2.996,Ministerio para la transición ecológica y el retro demográfico,https://www.miteco.gob.es/es/cambio-climatico/temas/mitigacion-politicas-y-medidas/factoresemision_tcm30-479095.pdf,valid for 2021,
,Butane,,Belgium,,kgCO2e/GJ,63.1,National Inventory Report 2022 Belgium,https://climat.be/doc/nir-2022-03-15.pdf,valid for 2022,
10,Propane,,France,continental France,kgCO2e/GJ,75.4,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2017,
11,Propane,,France,continental France,kgCO2e/kg,3.46,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
12,Propane,,France,continental France,kgCO2e/kWh,0.272,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2017,
13,Propane,,France,continental France,kgCO2e/liter,1.8,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2017,
14,Propane,,Spain,,kgCO2e/kg,2.966,Ministerio para la transición ecológica y el retro demográfico,https://www.miteco.gob.es/es/cambio-climatico/temas/mitigacion-politicas-y-medidas/factoresemision_tcm30-479095.pdf,valid for 2021,
,Propane,,Belgium,,kgCO2e/GJ,63.1,National Inventory Report 2022 Belgium,https://climat.be/doc/nir-2022-03-15.pdf,valid for 2022,
15,Domestic fuel oil,,France,continental France,kgCO2e/GJ,91.6,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2017,
16,Domestic fuel oil,,France,continental France,kgCO2e/kg,3.85,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2017,
17,Domestic fuel oil,,France,continental France,kgCO2e/kWh,0.325,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2017,
18,Domestic fuel oil,,France,continental France,kgCO2e/liter,3.25,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2017,
19,Domestic fuel oil,,Spain,,kgCO2e/liter,3.031,Ministerio para la transición ecológica y el retro demográfico,https://www.miteco.gob.es/es/cambio-climatico/temas/mitigacion-politicas-y-medidas/factoresemision_tcm30-479095.pdf,valid for 2021,
,Domestic fuel oil,,Portugal,,kgCO2e/GJ,77.4,National Inventory Report 2022 Portugal,https://apambiente.pt/sites/default/files/_Clima/Inventarios/20221025NIR2022JulyCorrigendum.pdf,valid for 2022,
20,Coal,,France,continental France,kgCO2e/kg,3.36,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2017,
21,Coal,,France,continental France,kgCO2e/kWh,0.378,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2017,
22,Coal,,France,continental France,kgCO2e/GJ,105,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2017,
23,Coal,anthracite coal,Spain,,kgCO2e/kg,3.138,Ministerio para la transición ecológica y el retro demográfico,https://www.miteco.gob.es/es/cambio-climatico/temas/mitigacion-politicas-y-medidas/factoresemision_tcm30-479095.pdf,valid for 2021,Anthracite is the highest quality coal with a carbon content between 86 % and 97 %.
24,Coal,sub-bituminous coal,Spain,,kgCO2e/kg,1.34,Ministerio para la transición ecológica y el retro demográfico,https://www.miteco.gob.es/es/cambio-climatico/temas/mitigacion-politicas-y-medidas/factoresemision_tcm30-479095.pdf,valid for 2021,"Sub-bituminous coal contains 35 % to 45 % carbon. The properties of this type are between those of lignite (brown coal), the lowest grade of coal, and those of bituminous coal, the second-highest grade of coal."
,Coal,,Portugal,,kgCO2e/kg,2.28,EEA Grants Portugal,https://www.eeagrants.gov.pt/media/2918/emission-factors_portugal.xlsx,,
,Coal,coal tars,Belgium,,kgCO2e/GJ,94.6,National Inventory Report 2022 Belgium,https://climat.be/doc/nir-2022-03-15.pdf,valid for 2022,
,Coal,anthracite coal,Netherlands,,kgCO2e/GJ,98.3,Netherlands Enterprise Agency,https://english.rvo.nl/sites/default/files/2020/03/The-Netherlands-list-of-fuels-version-January-2020.pdf,valid for 2020,
,Coal,sub-bituminous coal,Netherlands,,kgCO2e/GJ,96.1,Netherlands Enterprise Agency,https://english.rvo.nl/sites/default/files/2020/03/The-Netherlands-list-of-fuels-version-January-2020.pdf,valid for 2020,
,Coal,lignite,Netherlands,,kgCO2e/GJ,101,Netherlands Enterprise Agency,https://english.rvo.nl/sites/default/files/2020/03/The-Netherlands-list-of-fuels-version-January-2020.pdf,valid for 2020,
25,Coke,petroleum coke,Spain,,kgCO2e/kg,3.183,Ministerio para la transición ecológica y el retro demográfico,https://www.miteco.gob.es/es/cambio-climatico/temas/mitigacion-politicas-y-medidas/factoresemision_tcm30-479095.pdf,valid for 2021,
26,Coke,coke of coal,Spain,,kgCO2e/kg,3.036,Ministerio para la transición ecológica y el retro demográfico,https://www.miteco.gob.es/es/cambio-climatico/temas/mitigacion-politicas-y-medidas/factoresemision_tcm30-479095.pdf,valid for 2021,
,Coke,,Belgium,,kgCO2e/GJ,94.6,National Inventory Report 2022 Belgium,https://climat.be/doc/nir-2022-03-15.pdf,valid for 2022,
,Coke,,Netherlands,,kgCO2e/GJ,95.4,Netherlands Enterprise Agency,https://english.rvo.nl/sites/default/files/2020/03/The-Netherlands-list-of-fuels-version-January-2020.pdf,valid for 2020,
27,Biogas,,France,continental France,kgCO2e/GJ,12.3,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid until 2023,
28,Biogas,,Spain,,kgCO2e/kg,0.001,Ministerio para la transición ecológica y el retro demográfico,https://www.miteco.gob.es/es/cambio-climatico/temas/mitigacion-politicas-y-medidas/factoresemision_tcm30-479095.pdf,valid for 2021,
,Biogas,,Belgium,Flanders,kgCO2e/GJ,66.7,National Inventory Report 2022 Belgium,https://climat.be/doc/nir-2022-03-15.pdf,valid for 2022,
,Biogas,,Belgium,Wallonia,kgCO2e/GJ,75,National Inventory Report 2022 Belgium,https://climat.be/doc/nir-2022-03-15.pdf,valid for 2022,
,Biogas,,Netherlands,,kgCO2e/GJ,90.8,Netherlands Enterprise Agency,https://english.rvo.nl/sites/default/files/2020/03/The-Netherlands-list-of-fuels-version-January-2020.pdf,valid for 2020,
29,Wood pellets,,France,continental France,kgCO2e/kg,0.111,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2017,
30,Wood pellets,,France,continental France,kgCO2e/kWh,0.0304,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2017,
31,Wood pellets,,Spain,,kgCO2e/kg,0.171,Ministerio para la transición ecológica y el retro demográfico,https://www.miteco.gob.es/es/cambio-climatico/temas/mitigacion-politicas-y-medidas/factoresemision_tcm30-479095.pdf,valid for 2021,
32,Woodchips,,France,continental France,kgCO2e/kg,0.0889,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2017,
33,Woodchips,,France,continental France,kgCO2e/kWh,0.0244,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2017,
34,Woodchips,,Spain,,kgCO2e/kg,0.137,Ministerio para la transición ecológica y el retro demográfico,https://www.miteco.gob.es/es/cambio-climatico/temas/mitigacion-politicas-y-medidas/factoresemision_tcm30-479095.pdf,valid for 2021,
,Wood/solid biomass,,Belgium,Flanders,kgCO2e/GJ,109.6,National Inventory Report 2022 Belgium,https://climat.be/doc/nir-2022-03-15.pdf,valid for 2022,
,Wood/solid biomass,,Belgium,Wallonia,kgCO2e/GJ,106,National Inventory Report 2022 Belgium,https://climat.be/doc/nir-2022-03-15.pdf,valid for 2022,
,Wood/solid biomass,,Belgium,Brussels,kgCO2e/GJ,112,National Inventory Report 2022 Belgium,https://climat.be/doc/nir-2022-03-15.pdf,valid for 2022,
,Wood/solid biomass,,Netherlands,,kgCO2e/GJ,109.6,Netherlands Enterprise Agency,https://english.rvo.nl/sites/default/files/2020/03/The-Netherlands-list-of-fuels-version-January-2020.pdf,valid for 2020,
35,District heating,,France,Rhône-Alpes/ Belley,kgCO2e/kWh,0.025,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
36,District heating,,France,Rhône-Alpes/ Bourg-en-Bresse,kgCO2e/kWh,0.141,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
37,District heating,,France,Rhône-Alpes/ Bourg-en-Bresse,kgCO2e/kWh,0.068,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
38,District heating,,France,Rhône-Alpes/ Hauteville Lompnes,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
39,District heating,,France,Rhône-Alpes/ Oyonnax,kgCO2e/kWh,0.03,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
40,District heating,,France,Rhône-Alpes/ Saint-Denis-les-Bourg,kgCO2e/kWh,0.1,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
41,District heating,,France,Rhône-Alpes/ Treffort-Cuisiat,kgCO2e/kWh,0.273,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
42,District heating,,France,Champagne-Ardenne/ Les Noes-Pres-Troyes,kgCO2e/kWh,0.228,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
43,District heating,,France,Champagne-Ardenne/ Piney,kgCO2e/kWh,0.071,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
44,District heating,,France,Champagne-Ardenne/ Troyes,kgCO2e/kWh,0.084,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
45,District heating,,France,Languedoc-Roussillon/ Carcassonne,kgCO2e/kWh,0.184,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
46,District heating,,France,Languedoc-Roussillon/ Narbonne,kgCO2e/kWh,0.093,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
47,District heating,,France,Midi-Pyrénées/ Decazeville,kgCO2e/kWh,0.02,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
48,District heating,,France,Midi-Pyrénées/ Onet-le-Château,kgCO2e/kWh,0.298,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
49,District heating,,France,Midi-Pyrénées/ Rodez,kgCO2e/kWh,0.142,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
50,District heating,,France,Provence-Alpes-Côte d'Azur/ Aix-en-Provence,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
51,District heating,,France,Provence-Alpes-Côte d'Azur/ Coudoux,kgCO2e/kWh,0.101,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
52,District heating,,France,Provence-Alpes-Côte d'Azur/ Istres,kgCO2e/kWh,0.116,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
53,District heating,,France,Provence-Alpes-Côte d'Azur/ Marseille,kgCO2e/kWh,0.253,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
54,District heating,,France,Provence-Alpes-Côte d'Azur/ Martigues,kgCO2e/kWh,0.049,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
55,District heating,,France,Provence-Alpes-Côte d'Azur/ Martigues,kgCO2e/kWh,0.245,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
56,District heating,,France,Provence-Alpes-Côte d'Azur/ Salon de Provence,kgCO2e/kWh,0.206,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
57,District heating,,France,Provence-Alpes-Côte d'Azur/ Vitrolles,kgCO2e/kWh,0.225,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
58,District heating,,France,Basse-Normandie/ Argences,kgCO2e/kWh,0.041,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
59,District heating,,France,Basse-Normandie/ Aunay-sur-Odon,kgCO2e/kWh,0.017,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
60,District heating,,France,Basse-Normandie/ Bayeux,kgCO2e/kWh,0.081,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
61,District heating,,France,Basse-Normandie/ Bayeux,kgCO2e/kWh,0.068,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
62,District heating,,France,Basse-Normandie/ Caen,kgCO2e/kWh,0.167,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
63,District heating,,France,Basse-Normandie/ Caen,kgCO2e/kWh,0.231,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
64,District heating,,France,Basse-Normandie/ Falaise,kgCO2e/kWh,0.02,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
65,District heating,,France,Basse-Normandie/ Hérouville-Saint-Clair,kgCO2e/kWh,0.015,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
66,District heating,,France,Basse-Normandie/ Lisieux,kgCO2e/kWh,0.046,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
67,District heating,,France,Basse-Normandie/ Vire,kgCO2e/kWh,0.027,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
68,District heating,,France,Auvergne/ Arpajon-sur-Cere,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
69,District heating,,France,Auvergne/ Aurillac,kgCO2e/kWh,2.00E-03,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
70,District heating,,France,Auvergne/ Riom-ès-Montagnes,kgCO2e/kWh,0.033,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
71,District heating,,France,Auvergne/ Saint-Flour,kgCO2e/kWh,7.00E-03,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
72,District heating,,France,Auvergne/ Saint-Georges,kgCO2e/kWh,5.00E-03,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
73,District heating,,France,Poitou-Charente/ Champagne-Mouton,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
74,District heating,,France,Poitou-Charente/ Montemboeuf,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
75,District heating,,France,Poitou-Charente/ Soyaux,kgCO2e/kWh,0.325,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
76,District heating,,France,Poitou-Charente/ Aytre,kgCO2e/kWh,8.00E-03,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
77,District heating,,France,Poitou-Charente/ Gémozac,kgCO2e/kWh,0.019,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
