,category,subcategory,type,size class,occupancy (percent),capacity,range,fuel type,country,region,note,co2e unit,co2e emission factor,source,source link,example image path
0,Passengers aircraft,,,,,101-220 seats,1000-3500 km,,France,continental France,published 2018,kg/peq.km,0.497,Ecocalculateur DGAC,https://data.ademe.fr/datasets/base-carbone%28r%29,
1,Passengers aircraft,,,,,101-220 seats,500-1000 km,,France,continental France,published 2018,kg/peq.km,0.617,Ecocalculateur DGAC,https://data.ademe.fr/datasets/base-carbone%28r%29,
2,Passengers aircraft,,,,,101-220 seats,<500 km,,France,continental France,published 2018,kg/peq.km,0.816,Ecocalculateur DGAC,https://data.ademe.fr/datasets/base-carbone%28r%29,
3,Passengers aircraft,,,,,101-220 seats,>3500 km,,France,continental France,published 2018,kg/peq.km,0.561,Ecocalculateur DGAC,https://data.ademe.fr/datasets/base-carbone%28r%29,
4,Passengers aircraft,,,,,20-50 seats,1000-3500 km,,France,continental France,published 2018,kg/peq.km,1.39,Ecocalculateur DGAC,https://data.ademe.fr/datasets/base-carbone%28r%29,
5,Passengers aircraft,,,,,20-50 seats,500-1000 km,,France,continental France,published 2018,kg/peq.km,1.1,Ecocalculateur DGAC,https://data.ademe.fr/datasets/base-carbone%28r%29,
6,Passengers aircraft,,,,,20-50 seats,<500 km,,France,continental France,published 2018,kg/peq.km,1.41,Ecocalculateur DGAC,https://data.ademe.fr/datasets/base-carbone%28r%29,
7,Passengers aircraft,,,,,20-50 seats,<500 km turboprop,,France,continental France,published 2018,kg/peq.km,0.987,Ecocalculateur DGAC,https://data.ademe.fr/datasets/base-carbone%28r%29,
8,Passengers aircraft,,,,,51-100 seats,1000-3500 km,,France,continental France,published 2018,kg/peq.km,0.711,Ecocalculateur DGAC,https://data.ademe.fr/datasets/base-carbone%28r%29,
9,Passengers aircraft,,,,,51-100 seats,500-1000 km,,France,continental France,published 2018,kg/peq.km,0.897,Ecocalculateur DGAC,https://data.ademe.fr/datasets/base-carbone%28r%29,
10,Passengers aircraft,,,,,51-100 seats,<500 km,,France,continental France,published 2018,kg/peq.km,1.18,Ecocalculateur DGAC,https://data.ademe.fr/datasets/base-carbone%28r%29,
11,Passengers aircraft,,,,,51-100 seats,<500 km turboprop,,France,continental France,published 2018,kg/peq.km,0.691,Ecocalculateur DGAC,https://data.ademe.fr/datasets/base-carbone%28r%29,
12,Passengers aircraft,,,,,>220 seats,1000-3500 km,,France,continental France,published 2018,kg/peq.km,0.476,Ecocalculateur DGAC,https://data.ademe.fr/datasets/base-carbone%28r%29,
13,Passengers aircraft,,,,,>220 seats,>3500 km,,France,continental France,published 2018,kg/peq.km,0.403,Ecocalculateur DGAC,https://data.ademe.fr/datasets/base-carbone%28r%29,
14,Passengers aircraft,,,,,,short-haul,,France,continental France,published 2018,kg/peq.km,0.691,Ecocalculateur DGAC,https://data.ademe.fr/datasets/base-carbone%28r%29,
15,Passengers aircraft,,,,,,long-haul,,France,continental France,published 2018,kg/peq.km,0.403,Ecocalculateur DGAC,https://data.ademe.fr/datasets/base-carbone%28r%29,
16,Passengers aircraft,,,,,,medium-haul,,France,continental France,published 2018,kg/peq.km,0.504,Ecocalculateur DGAC,https://data.ademe.fr/datasets/base-carbone%28r%29,
17,Light rail,,Subway,,,,,,France,Ile de France,published 2021,kg/passenger.km,2.84E-03,RATP - SNCF,https://data.ademe.fr/datasets/base-carbone%28r%29,
18,Light rail,,Subway,,,,,,France,Ile de France,published 2021,kg/passenger.km,2.74E-03,RATP - SNCF,https://data.ademe.fr/datasets/base-carbone%28r%29,
19,Light rail,,"Subway, tram, trolley bus",,,,,,France,"Urban area, > 250 000 inhabitants",published 2021,kg/passenger.km,3.29E-03,UTP - Enquête TCU 2017,https://data.ademe.fr/datasets/base-carbone%28r%29,
20,Light rail,,"Subway, tram, trolley bus",,,,,,France,"Urban area, 100 000 to 250 000 inhabitants",published 2021,kg/passenger.km,5.03E-03,UTP - Enquête TCU 2017,https://data.ademe.fr/datasets/base-carbone%28r%29,
21,Train,,RER (Paris area) and Transilien (suburban-train lines),,,,,,France,Ile de France,published 2021,kg/passenger.km,7.68E-03,RATP - SNCF,https://data.ademe.fr/datasets/base-carbone%28r%29,
22,Train,,RER (Paris area) and Transilien (suburban-train lines),,,,,,France,Ile de France,published 2021,kg/passenger.km,7.28E-03,RATP - SNCF,https://data.ademe.fr/datasets/base-carbone%28r%29,
23,Train,,Regional Express Train,,,,,,France,continental France,published 2021,kg/passenger.km,0.0313,InfoGES SNCF,https://data.ademe.fr/datasets/base-carbone%28r%29,
24,Train,,Regional Express Train,,,,,,France,continental France,published 2021,kg/passenger.km,0.0296,InfoGES SNCF,https://data.ademe.fr/datasets/base-carbone%28r%29,
